"index","original","renamed","stage"
"1","plant (1).png","plant_001_seed.png","seed"
"2","plant (2).png","plant_002_seed.png","seed"
"3","plant (3).png","plant_003_seed.png","seed"
"4","plant (4).png","plant_004_sprout.png","sprout"
"5","plant (5).png","plant_005_sprout.png","sprout"
"6","plant (6).png","plant_006_sprout.png","sprout"
"7","plant (7).png","plant_007_sprout.png","sprout"
"8","plant (8).png","plant_008_seedling.png","seedling"
"9","plant (9).png","plant_009_seedling.png","seedling"
"10","plant (10).png","plant_010_seedling.png","seedling"
"11","plant (11).png","plant_011_vegetative.png","vegetative"
"12","plant (12).png","plant_012_vegetative.png","vegetative"
"13","plant (13).png","plant_013_vegetative.png","vegetative"
"14","plant (14).png","plant_014_vegetative.png","vegetative"
"15","plant (15).png","plant_015_vegetative.png","vegetative"
"16","plant (16).png","plant_016_vegetative.png","vegetative"
"17","plant (17).png","plant_017_vegetative.png","vegetative"
"18","plant (18).png","plant_018_vegetative.png","vegetative"
"19","plant (19).png","plant_019_vegetative.png","vegetative"
"20","plant (20).png","plant_020_vegetative.png","vegetative"
"21","plant (21).png","plant_021_vegetative.png","vegetative"
"22","plant (22).png","plant_022_vegetative.png","vegetative"
"23","plant (23).png","plant_023_vegetative.png","vegetative"
"24","plant (24).png","plant_024_vegetative.png","vegetative"
"25","plant (25).png","plant_025_vegetative.png","vegetative"
"26","plant (26).png","plant_026_vegetative.png","vegetative"
"27","plant (27).png","plant_027_vegetative.png","vegetative"
"28","plant (28).png","plant_028_preflower.png","preflower"
"29","plant (29).png","plant_029_preflower.png","preflower"
"30","plant (30).png","plant_030_preflower.png","preflower"
"31","plant (31).png","plant_031_preflower.png","preflower"
"32","plant (32).png","plant_032_flowering.png","flowering"
"33","plant (33).png","plant_033_flowering.png","flowering"
"34","plant (34).png","plant_034_flowering.png","flowering"
"35","plant (35).png","plant_035_flowering.png","flowering"
"36","plant (36).png","plant_036_flowering.png","flowering"
"37","plant (37).png","plant_037_flowering.png","flowering"
"38","plant (38).png","plant_038_flowering.png","flowering"
"39","plant (39).png","plant_039_late_flowering.png","late_flowering"
"40","plant (40).png","plant_040_late_flowering.png","late_flowering"
"41","plant (41).png","plant_041_late_flowering.png","late_flowering"
"42","plant (42).png","plant_042_late_flowering.png","late_flowering"
"43","plant (43).png","plant_043_late_flowering.png","late_flowering"
"44","plant (44).png","plant_044_harvest.png","harvest"
"45","plant (45).png","plant_045_harvest.png","harvest"
"46","plant (46).png","plant_046_harvest.png","harvest"
